,State,County,Covid Deaths
0,Mississippi,Issaquena,3
1,Colorado,Crowley,1
2,Georgia,Wheeler,17
3,Texas,Concho,2
4,South Dakota,Ziebach,1
5,Georgia,Telfair,23
6,Florida,Union,28
7,Kentucky,Elliott,0
8,Georgia,Stewart,16
9,Pennsylvania,Forest,1
10,Tennessee,Lake,3
11,South Dakota,Buffalo,3
12,Florida,Liberty,10
13,Florida,DeSoto,28
14,Florida,Lafayette,15
15,Florida,Glades,6
16,Georgia,Calhoun,9
17,Georgia,Charlton,10
18,South Dakota,Oglala Lakota,5
19,South Dakota,Todd,5
20,Kentucky,McCreary,1
21,Florida,Hamilton,9
22,Georgia,Johnson,22
23,Tennessee,Bledsoe,4
24,Texas,Starr,179
25,Oklahoma,Greer,8
26,Idaho,Madison,2
27,Texas,Hidalgo,1895
28,Utah,San Juan,29
29,Georgia,Wilcox,25
30,Kentucky,Morgan,0
31,South Dakota,Jackson,1
32,Florida,Calhoun,14
33,Arkansas,Lincoln,17
34,Tennessee,Hancock,3
35,Georgia,Long,4
36,Mississippi,Quitman,6
37,Ohio,Noble,0
38,Mississippi,Yazoo,33
39,Georgia,Brantley,12
40,Texas,Frio,9
41,Georgia,Lanier,7
42,Colorado,Bent,0
43,Arkansas,Lee,18
44,North Dakota,Sioux,4
45,South Carolina,Dillon,46
46,Mississippi,Tallahatchie,25
47,New Mexico,McKinley,261
48,Missouri,Hickory,3
49,West Virginia,Webster,0
