,State,County,Population
0,Virginia,Loudoun County,413538
1,Maryland,Howard County,325690
2,Virginia,Fairfax County,1147532
3,New Jersey,Hunterdon County,124371
4,California,Santa Clara County,1927852
5,Virginia,Arlington County,236842
6,Colorado,Douglas County,351154
7,California,San Mateo County,766573
8,New Jersey,Morris County,491845
9,Tennessee,Williamson County,238412
10,New York,Nassau County,1356924
11,New Jersey,Somerset County,328934
12,California,Marin County,258826
13,California,San Francisco County,881549
14,Ohio,Delaware County,209177
15,Georgia,Forsyth County,244252
16,Maryland,Montgomery County,1050688
17,Maryland,Calvert County,92525
18,Virginia,Prince William County,470335
19,Virginia,Stafford County,152882
20,New York,Putnam County,98320
21,Maryland,Anne Arundel County,579234
22,Maryland,Charles County,163257
23,Texas,Rockwall County,104915
24,Massachusetts,Middlesex County,1611699
